oficina_agrupada
92.0
114.0
78.0
130.0
98.0
32.0
48.0
63.0
66.0
118.0
46.0
146.0
96.0
17.0
40.0
81.0
80.0
49.0
89.0
73.0
97.0
51.0
110.0
134.0
38.0
39.0
58.0
95.0
137.0
100.0
117.0
87.0
101.0
99.0
62.0
79.0
69.0
71.0
57.0
104.0
126.0
70.0
67.0
2.0
115.0
82.0
83.0
68.0
76.0
27.0
6.0
102.0
34.0
28.0
33.0
105.0
112.0
74.0
75.0
50.0
84.0
123.0
149.0
43.0
144.0
143.0
41.0
